Date,Index Value
2017-01-01,10180.474838709673
2017-02-01,10234.217419354833
2017-03-01,10235.549999999994
2017-04-01,10199.116451612903
2017-05-01,10148.670000000004
2017-06-01,10148.670000000002
2017-07-01,10148.670000000004
2017-08-01,10148.670000000002
2017-09-01,10148.670000000002
2017-10-01,10148.670000000004
2017-11-01,10148.670000000002
2017-12-01,10148.670000000004
2018-01-01,10148.670000000002
2018-02-01,10513.566774193549
2018-03-01,10525.730000000001
2018-04-01,10755.711935483876
2018-05-01,11317.890000000009
2018-06-01,12330.695161290329
2018-07-01,13164.770000000002
2018-08-01,13164.770000000004
2018-09-01,13164.770000000004
2018-10-01,13368.129999999988
2018-11-01,13774.849999999993
2018-12-01,13774.849999999995
2019-01-01,13774.849999999993
2019-02-01,13774.849999999993
2019-03-01,13843.801071428574
2019-04-01,14384.310322580643
2019-05-01,14790.984666666665
2019-06-01,15223.366451612903
2019-07-01,15557.381000000001
2019-08-01,15660.89096774194
2019-09-01,16470.022903225807
2019-10-01,17373.55766666667
2019-11-01,17568.29032258064
2019-12-01,17235.996
2020-01-01,17049.978709677423
2020-02-01,17037.636451612903
2020-03-01,17548.460344827585
2020-04-01,17775.32419354839
2020-05-01,17815.220666666668
2020-06-01,17858.6470967742
2020-07-01,17475.960333333336
2020-08-01,17408.74903225806
2020-09-01,17255.322258064516
2020-10-01,17485.181
2020-11-01,18241.364193548387
2020-12-01,18503.86333333334
2021-01-01,18588.385161290324
2021-02-01,18779.29645161291
2021-03-01,19457.89464285714
2021-04-01,20134.631612903224
2021-05-01,22173.641666666666
2021-06-01,23542.434193548386
2021-07-01,24678.157333333336
2021-08-01,25024.60387096774
2021-09-01,25455.463870967746
2021-10-01,25678.538
2021-11-01,26767.092580645163
2021-12-01,28024.964000000004
2022-01-01,29277.510645161292
2022-02-01,30536.55064516129
2022-03-01,34723.853571428575
2022-04-01,37259.289677419365
2022-05-01,36290.852333333336
2022-06-01,34741.61483870967
2022-07-01,33042.12100000001
2022-08-01,31859.710645161293
2022-09-01,30957.94612903226
2022-10-01,30690.815666666673
2022-11-01,30786.354838709685
2022-12-01,29708.757666666657
2023-01-01,28286.20064516129
2023-02-01,27224.042580645164
2023-03-01,26639.775357142855
2023-04-01,26448.514838709685
2023-05-01,28225.57333333334
2023-06-01,27542.03838709677
2023-07-01,26846.56200000001
2023-08-01,26790.9006451613
2023-09-01,25609.42387096774
2023-10-01,25434.311999999998
2023-11-01,25844.52161290323
2023-12-01,25321.685000000005

