date,Rolex Market Index (USD)
Wed Jan 03 2018,15837
Thu Jan 04 2018,15863
Fri Jan 05 2018,15891
Sat Jan 06 2018,15894
Sun Jan 07 2018,15905
Mon Jan 08 2018,15913
Tue Jan 09 2018,15925
Wed Jan 10 2018,15928
Thu Jan 11 2018,15964
Fri Jan 12 2018,15962
Sat Jan 13 2018,15969
Sun Jan 14 2018,15960
Mon Jan 15 2018,15950
Tue Jan 16 2018,15926
Wed Jan 17 2018,15929
Thu Jan 18 2018,15939
Fri Jan 19 2018,15951
Sat Jan 20 2018,15967
Sun Jan 21 2018,15995
Mon Jan 22 2018,15998
Tue Jan 23 2018,16014
Wed Jan 24 2018,16034
Thu Jan 25 2018,16035
Fri Jan 26 2018,16055
Sat Jan 27 2018,16061
Sun Jan 28 2018,16070
Mon Jan 29 2018,16066
Tue Jan 30 2018,16073
Wed Jan 31 2018,16072
Thu Feb 01 2018,16075
Fri Feb 02 2018,16086
Sat Feb 03 2018,16087
Sun Feb 04 2018,16090
Mon Feb 05 2018,16113
Tue Feb 06 2018,16115
Wed Feb 07 2018,16124
Thu Feb 08 2018,16133
Fri Feb 09 2018,16143
Sat Feb 10 2018,16144
Sun Feb 11 2018,16159
Mon Feb 12 2018,16172
Tue Feb 13 2018,16187
Wed Feb 14 2018,16222
Thu Feb 15 2018,16222
Fri Feb 16 2018,16238
Sat Feb 17 2018,16227
Sun Feb 18 2018,16238
Mon Feb 19 2018,16241
Tue Feb 20 2018,16255
Wed Feb 21 2018,16252
Thu Feb 22 2018,16261
Fri Feb 23 2018,16291
Sat Feb 24 2018,16304
Sun Feb 25 2018,16332
Mon Feb 26 2018,16335
Tue Feb 27 2018,16355
Wed Feb 28 2018,16361
Thu Mar 01 2018,16388
Fri Mar 02 2018,16396
Sat Mar 03 2018,16423
Sun Mar 04 2018,16426
Mon Mar 05 2018,16437
Tue Mar 06 2018,16450
Wed Mar 07 2018,16456
Thu Mar 08 2018,16467
Fri Mar 09 2018,16478
Sat Mar 10 2018,16487
Sun Mar 11 2018,16488
Mon Mar 12 2018,16502
Tue Mar 13 2018,16511
Wed Mar 14 2018,16515
Thu Mar 15 2018,16506
Fri Mar 16 2018,16509
Sat Mar 17 2018,16510
Sun Mar 18 2018,16512
Mon Mar 19 2018,16521
Tue Mar 20 2018,16534
Wed Mar 21 2018,16550
Thu Mar 22 2018,16571
Fri Mar 23 2018,16623
Sat Mar 24 2018,16622
Sun Mar 25 2018,16621
Mon Mar 26 2018,16628
Tue Mar 27 2018,16626
Wed Mar 28 2018,16646
Thu Mar 29 2018,16639
Fri Mar 30 2018,16630
Sat Mar 31 2018,16629
Sun Apr 01 2018,16637
Mon Apr 02 2018,16669
Tue Apr 03 2018,16687
Wed Apr 04 2018,16728
Thu Apr 05 2018,16753
Fri Apr 06 2018,16787
Sat Apr 07 2018,16788
Sun Apr 08 2018,16795
Mon Apr 09 2018,16821
Tue Apr 10 2018,16832
Wed Apr 11 2018,16844
Thu Apr 12 2018,16890
Fri Apr 13 2018,16916
Sat Apr 14 2018,16920
Sun Apr 15 2018,16919
Mon Apr 16 2018,16957
Tue Apr 17 2018,16966
Wed Apr 18 2018,16955
Thu Apr 19 2018,16967
Fri Apr 20 2018,16946
Sat Apr 21 2018,16971
Sun Apr 22 2018,16978
Mon Apr 23 2018,16997
Tue Apr 24 2018,17076
Wed Apr 25 2018,17075
Thu Apr 26 2018,17065
Fri Apr 27 2018,17077
Sat Apr 28 2018,17078
Sun Apr 29 2018,17091
Mon Apr 30 2018,17090
Tue May 01 2018,17116
Wed May 02 2018,17143
Thu May 03 2018,17149
Fri May 04 2018,17139
Sat May 05 2018,17149
Sun May 06 2018,17157
Mon May 07 2018,17155
Tue May 08 2018,17146
Wed May 09 2018,17186
Thu May 10 2018,17200
Fri May 11 2018,17195
Sat May 12 2018,17199
Sun May 13 2018,17202
Mon May 14 2018,17195
Tue May 15 2018,17192
Wed May 16 2018,17208
Thu May 17 2018,17220
Fri May 18 2018,17224
Sat May 19 2018,17229
Sun May 20 2018,17231
Mon May 21 2018,17246
Tue May 22 2018,17262
Wed May 23 2018,17276
Thu May 24 2018,17303
Fri May 25 2018,17306
Sat May 26 2018,17315
Sun May 27 2018,17335
Mon May 28 2018,17337
Tue May 29 2018,17342
Wed May 30 2018,17350
Thu May 31 2018,17353
Fri Jun 01 2018,17370
Sat Jun 02 2018,17392
Sun Jun 03 2018,17396
Mon Jun 04 2018,17379
Tue Jun 05 2018,17413
Wed Jun 06 2018,17411
Thu Jun 07 2018,17422
Fri Jun 08 2018,17431
Sat Jun 09 2018,17431
Sun Jun 10 2018,17430
Mon Jun 11 2018,17455
Tue Jun 12 2018,17464
Wed Jun 13 2018,17479
Thu Jun 14 2018,17474
Fri Jun 15 2018,17493
Sat Jun 16 2018,17530
Sun Jun 17 2018,17532
Mon Jun 18 2018,17546
Tue Jun 19 2018,17579
Wed Jun 20 2018,17611
Thu Jun 21 2018,17631
Fri Jun 22 2018,17643
Sat Jun 23 2018,17648
Sun Jun 24 2018,17652
Mon Jun 25 2018,17665
Tue Jun 26 2018,17676
Wed Jun 27 2018,17664
Thu Jun 28 2018,17662
Fri Jun 29 2018,17667
Sat Jun 30 2018,17667
Sun Jul 01 2018,17685
Mon Jul 02 2018,17715
Tue Jul 03 2018,17721
Wed Jul 04 2018,17716
Thu Jul 05 2018,17730
Fri Jul 06 2018,17732
Sat Jul 07 2018,17725
Sun Jul 08 2018,17723
Mon Jul 09 2018,17719
Tue Jul 10 2018,17715
Wed Jul 11 2018,17741
Thu Jul 12 2018,17803
Fri Jul 13 2018,17812
Sat Jul 14 2018,17823
Sun Jul 15 2018,17825
Mon Jul 16 2018,17850
Tue Jul 17 2018,17817
Wed Jul 18 2018,17819
Thu Jul 19 2018,17818
Fri Jul 20 2018,17817
Sat Jul 21 2018,17806
Sun Jul 22 2018,17816
Mon Jul 23 2018,17817
Tue Jul 24 2018,17816
Wed Jul 25 2018,17820
Thu Jul 26 2018,17814
Fri Jul 27 2018,17833
Sat Jul 28 2018,17839
Sun Jul 29 2018,17825
Mon Jul 30 2018,17823
Tue Jul 31 2018,17847
Wed Aug 01 2018,17862
Thu Aug 02 2018,17951
Fri Aug 03 2018,17961
Sat Aug 04 2018,17978
Sun Aug 05 2018,17973
Mon Aug 06 2018,17966
Tue Aug 07 2018,17981
Wed Aug 08 2018,17991
Thu Aug 09 2018,17996
Fri Aug 10 2018,18078
Sat Aug 11 2018,18056
Sun Aug 12 2018,18057
Mon Aug 13 2018,18101
Tue Aug 14 2018,18104
Wed Aug 15 2018,18139
Thu Aug 16 2018,18143
Fri Aug 17 2018,18138
Sat Aug 18 2018,18162
Sun Aug 19 2018,18170
Mon Aug 20 2018,18129
Tue Aug 21 2018,18284
Wed Aug 22 2018,18282
Thu Aug 23 2018,18294
Fri Aug 24 2018,18310
Sat Aug 25 2018,18306
Sun Aug 26 2018,18299
Mon Aug 27 2018,18320
