Country,Currency,Indicator_Name,GDP_Year_1970,GDP_Year_1971,GDP_Year_1972,GDP_Year_1973,GDP_Year_1974,GDP_Year_1975,GDP_Year_1976,GDP_Year_1977,GDP_Year_1978,GDP_Year_1979,GDP_Year_1980,GDP_Year_1981,GDP_Year_1982,GDP_Year_1983,GDP_Year_1984,GDP_Year_1985,GDP_Year_1986,GDP_Year_1987,GDP_Year_1988,GDP_Year_1989,GDP_Year_1990,GDP_Year_1991,GDP_Year_1992,GDP_Year_1993,GDP_Year_1994,GDP_Year_1995,GDP_Year_1996,GDP_Year_1997,GDP_Year_1998,GDP_Year_1999,GDP_Year_2000,GDP_Year_2001,GDP_Year_2002,GDP_Year_2003,GDP_Year_2004,GDP_Year_2005,GDP_Year_2006,GDP_Year_2007,GDP_Year_2008,GDP_Year_2009,GDP_Year_2010,GDP_Year_2011,GDP_Year_2012,GDP_Year_2013,GDP_Year_2014,GDP_Year_2015,GDP_Year_2016,GDP_Year_2017,GDP_Year_2018,GDP_Year_2019,GDP_Year_2020
Haiti,Gourde,General government final consumption expenditure,217596783,250226880,236277095,274070896,285539374,410633618,500402675,550305922,641620627,734130407,1006749718,1183362534,1179474660,1201520843,1367403823,1517833468,1487942452,1223494576,1342393685,1457947894,1531279156,1960723456,2344536669,1822476352,2162407556,5060923381,5048169725,7772973489,7681166116,8907615148,9335543810,11106660017,13165677229,16231650953,17721271350,18083353634,21666578258,26492363359,32513838022,32955304097,34794007475,34342773112,42404804459,46215750526,51800901197,59544297908,69730000000,78243000000,88672000000,90855000000,106017000000
Haiti,Gourde,Gross capital formation,256978375,295448192,329301631,470870556,643215335,830948040,1043301428,1151016915,1318745315,1443387521,1905025321,1926568419,1892714980,2048133039,2217400233,2574400131,2492844120,2377434670,2196451732,2332773555,2657377722,3616942399,3570283991,2379649596,2303601630,7145965380,8395850285,8065228972,9490926309,10575521022,11126371931,12143389050,15958537138,34223106422,27556801967,26901872821,45443032729,31838888128,50371991285,59478908134,119455000000,110049000000,99801046035,95075658614,96018146133,102403000000,143013000000,199481000000,201395000000,252809000000,256674000000
Haiti,Gourde,Gross fixed capital formation (including Acquisitions less disposals of valuables),256978375,295448192,329301631,470870556,643215335,830948040,1043301428,1151016915,1318745315,1443387521,1905025321,1926568419,1892714980,2048133039,2217400233,2574400131,2492844120,2377434670,2196451732,2332773555,2657377722,3616942399,3570283991,2379649596,2303601630,7145965380,8395850285,8065228972,9490926309,10575521022,11126371931,12143389050,15958537138,34223106422,27556801967,26901872821,45443032729,31838888128,50371991285,59478908134,119455000000,110049000000,99801046035,95075658614,96018146133,102403000000,143013000000,199481000000,201395000000,252809000000,256674000000
Haiti,Gourde,Exports of goods and services,218762458,309284855,336106306,432495895,554868764,657125545,876726174,1046874753,1253064656,1275695255,1800389887,1629403138,1792846354,1929468119,2177566539,2276470639,1961318592,2397167168,2116867868,1757740616,1808372165,1816109553,1517149968,2416920489,1960790310,3531675333,4984298065,5291645417,5807884553,7847862577,9053344720,10279144488,10568891095,19165831581,20120699985,23953623784,16347327840,27256060203,32033346550,37947454390,32345398286,52848021661,55033308433,67585499187,74180214283,84851923895,97403000000,109249000000,116427000000,145725000000,110931000000
Haiti,Gourde,Imports of goods and services,386583041,480129374,552261487,699906905,978291777,1219483528,1611701891,2090704201,2446856507,2594501925,3721566184,4113784546,3590826730,3810604260,4098005646,4297496020,3657323521,4245651064,4228708325,3740828732,5282332139,5253268579,5071592307,8585808231,7694388629,11351210876,13033327857,13756766610,16095128843,19666687090,24694989303,29248034717,30895070732,55785436620,60841485493,64350144602,86082110424,84029482855,109810000000,114427000000,172165000000,178624000000,174435000000,191621000000,212079000000,218068000000,283239000000,342333000000,392333000000,465857000000,431528000000
Haiti,Gourde,Gross Domestic Product (GDP),2196175942,2405714467,2466719355,3095334932,3749148180,4518340237,5828619120,6279524809,6459887084,7165421867,9175930761,9390774059,9775370088,10766036409,12043160462,13324263095,14837449537,12988736215,13636100206,14892867005,17582955662,21420607381,25587265698,29877013795,43011161280,57189557423,68338047782,82547677227,100465000000,115230000000,134678000000,152313000000,168520000000,206836000000,241984000000,282315000000,307084000000,348416000000,395564000000,467332000000,470074000000,524124000000,569992000000,625234000000,660020000000,721432000000,844479000000,986919000000,1076410000000,1244010000000,1449890000000
Haiti,Gourde,"Agriculture, hunting, forestry, fishing (ISIC A-B)",967518652,1026223257,1039336549,1273588588,1493859692,1848361242,2221373612,2239640302,2237456032,2455606330,2955716714,3070616845,3175190084,3334575359,3849726505,4260316234,4882471079,4352786724,4153548042,4367574295,4907330852,5885279022,7854831256,8118391887,12585831210,11375408470,11014774990,13908449893,16850018713,20172764322,23166356573,24954194590,26194440608,33807591361,37757133683,49619813955,54349192651,66483415498,73248828482,86078984947,95046066864,105051000000,110977000000,120238000000,117568000000,124377000000,152753000000,186516000000,200728000000,242411000000,295233000000
Haiti,Gourde,"Mining, Manufacturing, Utilities (ISIC C-E)",339480229,401624024,425555122,518748399,665080928,710136376,1022494959,1175988907,1219162450,1370938977,1852683721,1718750218,1844225342,1990950167,2104168837,2301249910,2531868237,2166078702,2161904491,2600066961,3186045374,3153809317,3784715259,5223254270,7671326477,15041923684,13935701889,14024410108,15635889420,18968457824,21814446842,25326213150,27645016265,35966628724,46229270090,53241210783,60467571736,64979496862,79316980079,90380496721,84172860399,95350217105,109410000000,119707000000,129597000000,141443000000,160272000000,185233000000,202901000000,237238000000,283905000000
Haiti,Gourde,Manufacturing (ISIC D),285946808,337149264,367586876,437872664,566862225,619836460,880592286,1025257560,1076880334,1224206788,1675992588,1547055927,1625650486,1890870319,1985423417,2165421311,2379839197,2019094790,1901094486,2255872486,2588003307,2695013706,3277488431,4537886805,6831956576,13249970384,11956588756,11256600096,12520636264,15377279754,17563318874,20964114200,22649548983,30195640322,37737524041,43745606971,50499483455,54300863301,67628436833,77236446389,68005984941,76805398853,91920322580,98086172390,109599000000,122561000000,139021000000,162324000000,179102000000,211613000000,255728000000
Haiti,Gourde,Construction (ISIC F),57450500,67832820,79791585,125806698,184276994,228536824,299719664,332746559,354310369,402794243,494048992,538577881,526921526,608996522,691098342,856765006,900479696,812279513,843048985,800339711,929860463,2003486107,1736696727,1730152526,1857838226,2849371476,6293429180,7144929783,9685060543,9352798689,9255289084,10470595207,10724159146,15209123407,14782511872,15573697761,20811526713,23186993502,26790136746,29739343117,26378137613,33545337475,35215836899,42434896611,45542121586,45952386658,47396168804,49619293310,56121658245,49171412211,54317491993
